geoid,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded
06037910706,06,037,910706,Census Tract 9107.06; Los Angeles County; California,6761,825,265,231,3.92,47,82,0,19,47,84.17244204607586,0.0,131.17244204607584,1.790903022256933,high_uncertainty,0.7,17.74,108563.0,19464.0,0.17928760259020107,False
06037910707,06,037,910707,Census Tract 9107.07; Los Angeles County; California,5615,541,189,222,3.37,0,19,0,19,0,26.870057685088806,0.0,26.870057685088806,,zero_estimate,0.0,0.0,72256.0,20094.0,0.27809455270150574,False
06037910709,06,037,910709,Census Tract 9107.09; Los Angeles County; California,1682,236,42,44,2.5,25,40,0,14,25,42.37924020083418,0.0,67.37924020083418,1.6951696080333674,high_uncertainty,1.49,59.52,102566.0,24880.0,0.24257551235302147,False
06037910712,06,037,910712,Census Tract 9107.12; Los Angeles County; California,3211,632,95,79,2.96,14,14,0,14,14,19.79898987322333,0.0,33.798989873223334,1.4142135623730951,high_uncertainty,0.44,14.74,96324.0,22472.0,0.23329595947012166,False
06037910713,06,037,910713,Census Tract 9107.13; Los Angeles County; California,6801,1236,110,91,1.62,0,19,0,19,0,26.870057685088806,0.0,26.870057685088806,,zero_estimate,0.0,0.0,80764.0,13813.0,0.1710291714130058,False
06037910714,06,037,910714,Census Tract 9107.14; Los Angeles County; California,4225,662,87,58,2.06,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,79653.0,12434.0,0.1561020928276399,False
06037910715,06,037,910715,Census Tract 9107.15; Los Angeles County; California,6701,769,640,381,9.55,29,42,26,40,55,58.0,0.0,113.0,1.0545454545454545,high_uncertainty,0.82,8.59,86250.0,23491.0,0.27235942028985505,False
06037910716,06,037,910716,Census Tract 9107.16; Los Angeles County; California,6583,919,0,19,0.0,0,19,0,19,0,26.870057685088806,0.0,26.870057685088806,,zero_estimate,0.0,,86330.0,12135.0,0.14056527279045522,False
06037910717,06,037,910717,Census Tract 9107.17; Los Angeles County; California,2226,480,0,14,0.0,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,,91333.0,21406.0,0.23437311815006623,False
06037910718,06,037,910718,Census Tract 9107.18; Los Angeles County; California,5245,719,70,60,1.33,0,19,0,19,0,26.870057685088806,0.0,26.870057685088806,,zero_estimate,0.0,0.0,105588.0,16658.0,0.15776413986437854,False
06037910719,06,037,910719,Census Tract 9107.19; Los Angeles County; California,4305,867,54,109,1.25,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,97792.0,24575.0,0.2512986747382199,False
06037910720,06,037,910720,Census Tract 9107.20; Los Angeles County; California,5263,1132,88,84,1.67,0,19,0,19,0,26.870057685088806,0.0,26.870057685088806,,zero_estimate,0.0,0.0,59871.0,30704.0,0.5128359305840892,False
