STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded,competitors_within_1_mile,competitors_within_3_miles,expanded_competitors_within_1_mile,expanded_competitors_within_3_miles,additional_competitors_within_1_mile,additional_competitors_within_3_miles,chinese_population_rank,chinese_share_rank,income_rank,demand_component,baseline_competition_component,expanded_competition_component,baseline_score,expanded_score,baseline_rank,expanded_rank,rank_change,in_baseline_top_20,in_expanded_top_20,competition_robustness
06,037,264103,06037264103,1400000US06037264103,2641.03,Census Tract 2641.03,G5020,S,230523,0,+34.0549771,-118.4662764,06,037,264103,Census Tract 2641.03; Los Angeles County; California,2646,379,264,126,9.98,45,42,122,105,167,113.08846094982458,53.91153905017542,280.0884609498246,0.6771764128732011,usable_with_caution,6.31,63.26,135357.0,36576.0,0.27021875484829,False,0,13,1,22,1,9,0.42531120331950206,0.5606846473029046,0.7780082987551867,0.47946058091286303,0.5932572614107885,0.5049792531120332,56.19,54.43,384,426,42,False,False,outside_top_20
06,037,265601,06037265601,1400000US06037265601,2656.01,Census Tract 2656.01,G5020,S,623099,0,+34.0558599,-118.4327259,06,037,265601,Census Tract 2656.01; Los Angeles County; California,2865,515,373,163,13.02,128,118,0,14,128,118.8276062201036,9.17239377989641,246.8276062201036,0.9283406735945592,usable_with_caution,4.47,34.32,150481.0,65631.0,0.4361414397830955,False,9,16,12,27,3,11,0.3392116182572614,0.4299792531120332,0.8381742738589212,0.3755186721991701,0.19263485477178427,0.20093360995850618,43.15,43.31,625,631,6,False,False,outside_top_20
06,037,650605,06037650605,1400000US06037650605,6506.05,Census Tract 6506.05,G5020,S,484186,3639,+33.8453408,-118.3504673,06,037,650605,Census Tract 6506.05; Los Angeles County; California,2668,309,1571,327,58.88,110,112,9,15,119,113.0,6.0,232.0,0.9495798319327732,usable_with_caution,4.46,7.57,114531.0,22392.0,0.1955103858344029,False,1,15,2,23,1,8,0.31431535269709543,0.4279045643153527,0.616701244813278,0.35975103734439834,0.42676348547717846,0.42230290456431535,42.45,42.37,638,652,14,False,False,outside_top_20
06,037,108202,06037108202,1400000US06037108202,1082.02,Census Tract 1082.02,G5020,S,5976110,3024,+34.2840658,-118.5812419,06,037,108202,Census Tract 1082.02; Los Angeles County; California,11154,1495,4412,597,39.56,464,320,0,21,464,320.68832220709254,143.31167779290746,784.6883222070926,0.6911386254463201,usable_with_caution,4.16,10.52,181709.0,33065.0,0.1819667710460131,False,0,1,0,1,0,0,0.7354771784232366,0.3983402489626556,0.9221991701244814,0.6006224066390042,0.9122406639004149,0.9321576763485477,72.73,73.12,104,95,-9,False,False,outside_top_20
06,037,113237,06037113237,1400000US06037113237,1132.37,Census Tract 1132.37,G5020,S,4736224,11048,+34.2451986,-118.6126947,06,037,113237,Census Tract 1132.37; Los Angeles County; California,4734,825,1197,759,25.29,59,51,0,14,59,52.88667128870941,6.113328711290592,111.8866712887094,0.8963842591306679,usable_with_caution,1.25,4.93,134926.0,41528.0,0.3077835257845041,False,0,2,0,2,0,0,0.10684647302904564,0.050311203319502076,0.7759336099585062,0.08423236514522821,0.8926348547717843,0.9193983402489627,38.43,38.96,692,683,-9,False,False,outside_top_20
06,037,408505,06037408505,1400000US06037408505,4085.05,Census Tract 4085.05,G5020,S,1990287,0,+34.0020976,-117.9800005,06,037,408505,Census Tract 4085.05; Los Angeles County; California,2360,299,1158,260,49.07,762,253,131,101,893,272.4151243965724,620.5848756034277,1165.4151243965723,0.3050561303433061,more_reliable,37.84,77.12,114850.0,20512.0,0.1785981715280801,False,1,9,2,13,1,4,0.8495850622406639,0.9242738589211619,0.6203319502074689,0.879460580912863,0.6013485477178423,0.5909751037344398,77.2,76.99,63,56,-7,False,False,outside_top_20
06,037,408631,06037408631,1400000US06037408631,4086.31,Census Tract 4086.31,G5020,S,1476685,0,+34.0002892,-117.9583656,06,037,408631,Census Tract 4086.31; Los Angeles County; California,5121,761,1977,397,38.61,1368,379,66,67,1434,384.8766036017258,1049.123396398274,1818.876603601726,0.2683937263610361,more_reliable,28.0,72.53,110536.0,31207.0,0.2823243106318303,False,3,10,3,21,0,11,0.921161825726141,0.8848547717842323,0.5850622406639004,0.9066390041493775,0.43661825726141074,0.4020746887966805,74.83,74.14,82,87,5,False,False,outside_top_20
06,037,190401,06037190401,1400000US06037190401,1904.01,Census Tract 1904.01,G5020,S,166929,0,+34.1035718,-118.3027866,06,037,190401,Census Tract 1904.01; Los Angeles County; California,2827,482,214,136,7.57,69,58,5,9,74,58.69412236331676,15.305877636683242,132.69412236331675,0.7931638157204968,usable_with_caution,2.62,34.58,70107.0,18245.0,0.2602450539889027,False,3,17,5,31,2,14,0.1628630705394191,0.23962655601659752,0.13900414937759337,0.19356846473029046,0.2511410788381742,0.23153526970954358,19.42,19.02,918,920,2,False,False,outside_top_20
06,037,190402,06037190402,1400000US06037190402,1904.02,Census Tract 1904.02,G5020,S,157146,0,+34.1035491,-118.3071514,06,037,190402,Census Tract 1904.02; Los Angeles County; California,2244,310,286,159,12.75,31,35,10,20,41,40.311288741492746,0.6887112585072543,81.31128874149275,0.9832021644266524,usable_with_caution,1.83,14.34,55987.0,15204.0,0.2715630414203297,False,3,16,5,30,2,14,0.03112033195020747,0.1400414937759336,0.06742738589211618,0.07468879668049792,0.27043568464730294,0.23620331950207468,11.24,10.55,954,956,2,False,False,outside_top_20
06,037,207501,06037207501,1400000US06037207501,2075.01,Census Tract 2075.01,G5020,S,134327,0,+34.0564422,-118.2529675,06,037,207501,Census Tract 2075.01; Los Angeles County; California,2074,377,644,223,31.05,168,113,43,69,211,132.4009063413087,78.59909365869129,343.4009063413087,0.6274924471152071,usable_with_caution,10.17,32.76,115667.0,30812.0,0.2663853994657076,False,11,45,13,58,2,13,0.4994813278008299,0.7053941908713693,0.6255186721991701,0.5818464730290457,0.035580912863070524,0.09273858921161829,48.13,49.28,545,528,-17,False,False,outside_top_20
