STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded,competitors_within_1_mile,competitors_within_3_miles
06,037,117302,06037117302,1400000US06037117302,1173.02,Census Tract 1173.02,G5020,S,2051819,0,+34.2381430,-118.4987424,06,037,117302,Census Tract 1173.02; Los Angeles County; California,4698,621,1115,535,23.73,32,35,0,14,32,37.69615364994153,0.0,69.69615364994152,1.1780048015606728,high_uncertainty,0.68,2.87,105991.0,19589.0,0.1848175788510345,False,0,11
06,037,117303,06037117303,1400000US06037117303,1173.03,Census Tract 1173.03,G5020,S,1800594,0,+34.2281097,-118.4912814,06,037,117303,Census Tract 1173.03; Los Angeles County; California,4219,1072,512,249,12.14,39,49,0,14,39,50.96076922496363,0.0,89.96076922496363,1.3066863903836827,high_uncertainty,0.92,7.62,130724.0,25224.0,0.1929561518925369,False,1,12
06,037,117520,06037117520,1400000US06037117520,1175.20,Census Tract 1175.20,G5020,S,321687,4030,+34.2300853,-118.4621861,06,037,117520,Census Tract 1175.20; Los Angeles County; California,3955,692,202,125,5.11,26,43,0,14,26,45.22167621838005,0.0,71.22167621838005,1.7392952391684635,high_uncertainty,0.66,12.87,58517.0,9999.0,0.1708734213989097,False,4,9
06,037,482600,06037482600,1400000US06037482600,4826,Census Tract 4826,G5020,S,2714345,130227,+34.0472694,-118.1133924,06,037,482600,Census Tract 4826; Los Angeles County; California,6611,900,4411,1029,66.72,3062,1067,0,19,3062,1067.169152477713,1994.830847522287,4129.1691524777125,0.3485202980005594,more_reliable,46.32,69.42,114493.0,39517.0,0.3451477382896771,False,1,43
06,037,482701,06037482701,1400000US06037482701,4827.01,Census Tract 4827.01,G5020,S,1229384,0,+34.0376220,-118.1397485,06,037,482701,Census Tract 4827.01; Los Angeles County; California,3827,466,1396,342,36.48,781,301,0,14,781,301.3254055004324,479.6745944995676,1082.3254055004325,0.3858199814346125,more_reliable,20.41,55.95,78250.0,20052.0,0.2562555910543131,False,5,28
06,037,572500,06037572500,1400000US06037572500,5725,Census Tract 5725,G5020,S,592705,0,+33.8165383,-118.2182796,06,037,572500,Census Tract 5725; Los Angeles County; California,4011,742,783,618,19.52,99,142,0,14,99,142.68847185389575,0.0,241.68847185389572,1.4412976954938963,high_uncertainty,2.47,12.64,58354.0,21430.0,0.3672413202179799,False,0,3
06,037,132102,06037132102,1400000US06037132102,1321.02,Census Tract 1321.02,G5020,S,1371494,0,+34.2020968,-118.4973692,06,037,132102,Census Tract 1321.02; Los Angeles County; California,5143,796,924,490,17.97,36,40,0,19,36,44.28317965096906,0.0,80.28317965096906,1.2300883236380296,high_uncertainty,0.7,3.9,80469.0,11767.0,0.1462302253041544,False,1,10
06,037,132501,06037132501,1400000US06037132501,1325.01,Census Tract 1325.01,G5020,S,700497,4303,+34.1968245,-118.5485970,06,037,132501,Census Tract 1325.01; Los Angeles County; California,5052,897,388,172,7.68,4,6,0,19,4,19.92485884517128,0.0,23.92485884517128,4.981214711292819,high_uncertainty,0.08,1.03,86696.0,21190.0,0.2444172741533634,False,1,9
06,037,132502,06037132502,1400000US06037132502,1325.02,Census Tract 1325.02,G5020,S,614444,10361,+34.1911391,-118.5469513,06,037,132502,Census Tract 1325.02; Los Angeles County; California,3495,450,229,120,6.55,24,36,0,14,24,38.62641583165593,0.0,62.62641583165593,1.6094339929856638,high_uncertainty,0.69,10.48,73558.0,14423.0,0.1960765654313603,False,1,7
06,037,134002,06037134002,1400000US06037134002,1340.02,Census Tract 1340.02,G5020,S,740801,12734,+34.2026924,-118.5855271,06,037,134002,Census Tract 1340.02; Los Angeles County; California,4020,712,418,216,10.4,8,13,0,14,8,19.1049731745428,0.0,27.1049731745428,2.38812164681785,high_uncertainty,0.2,1.91,81023.0,26469.0,0.3266850153660072,False,2,12
06,037,134423,06037134423,1400000US06037134423,1344.23,Census Tract 1344.23,G5020,S,1560693,6351,+34.2140487,-118.6350313,06,037,134423,Census Tract 1344.23; Los Angeles County; California,3560,443,514,100,14.44,85,73,0,14,85,74.33034373659252,10.669656263407475,159.3303437365925,0.8744746321952062,usable_with_caution,2.39,16.54,124464.0,43911.0,0.3528008098727342,False,0,7
06,037,134904,06037134904,1400000US06037134904,1349.04,Census Tract 1349.04,G5020,S,1031886,7874,+34.1914626,-118.5803105,06,037,134904,Census Tract 1349.04; Los Angeles County; California,4581,1059,1127,893,24.6,132,191,14,24,146,192.50194804209124,0.0,338.50194804209127,1.3185064934389812,high_uncertainty,3.19,12.95,104375.0,29194.0,0.279702994011976,False,1,13
