finalist_rank,GEOID,chinese_total_estimate,chinese_share_pct,median_household_income,competitors_within_1_mile,expanded_competitors_within_1_mile,competitors_within_3_miles,expanded_competitors_within_3_miles,average_scenario_rank,recommendation
1,06037403407,1661,70.14,156552.0,0,0,6,10,1.5,Priority area for site-level evaluation
2,06037403325,2735,58.12,111445.0,0,0,2,7,2.75,Priority area for site-level evaluation
3,06037430400,1674,39.66,182292.0,0,0,8,20,4.0,Priority area for site-level evaluation
4,06037403404,1035,48.96,173289.0,0,0,7,10,5.25,Priority area for site-level evaluation
5,06037408503,1943,29.42,145921.0,0,0,7,8,6.75,Priority area for site-level evaluation
